MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition
-0.6,-0.01809729370745497,-0.2917755759528296,-0.5,1.0,-0.3125,-0.9736842105263158,0.0,0.7454923717059639,0.0,-0.1497235219055721,0.6289120715350224,0.0,0.0,-0.2460348162475822,1.0,0.0,-1.0,0.0,0.0,0.0,-0.5,-1.0,-0.5554394277220382,-1.0,1.4880952380952381,-0.36486486486486486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,2.0,1.0,1.0,8.0,8.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,1.0,4.0,1.0,3.0,3.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,8.0,4.0
0.2,-0.5970446621285076,-0.4286669503373655,0.0,2.0,0.4375,0.0,0.0,-0.5332871012482663,0.0,0.5427477669076989,-0.3944361649279682,1.0604395604395604,0.0,0.15164410058027078,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.3676374953548848,0.0,0.0,0.17567567567567569,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.5,3.0,1.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,5.0,1.0,1.0,12.0,13.0,2.0,4.0,2.0,2.0,3.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,3.0,6.0,4.0,1.0,1.0,4.0,4.0,2.0,8.0,4.0
-0.4,-0.17599203054956022,-0.20010941584098232,-0.5,2.0,-1.2916666666666667,-1.1578947368421053,0.0,-0.5332871012482663,0.0,0.5376435559336452,-0.40039741679085944,0.0,0.0,-1.0475822050290136,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-2.0,1.9523809523809523,-0.36486486486486486,164.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,3.0,1.0,3.0,3.0,0.0,4.0,0.0,7.0,1.0,2.0,0.0,2.0,1.0,1.0,8.0,14.0,3.0,4.0,1.0,1.0,3.0,3.0,5.0,5.0,1.0,2.0,1.0,0.0,3.0,6.0,2.0,1.0,2.0,4.0,4.0,1.0,8.0,4.0
0.0,-0.5444130831811392,-0.5835511519056592,-0.5,2.0,-0.7291666666666666,-1.1578947368421053,1.5180722891566265,0.25589459084604715,0.0,-0.541046363249681,-0.529557873820169,1.081043956043956,0.0,0.4564796905222437,1.0,0.0,-1.0,1.0,0.0,0.0,0.5,1.0,-1.0169778892605,-1.0,0.0,-0.36486486486486486,264.0,0.0,0.0,0.0,0.0,0.0,-0.5,3.0,1.0,3.0,3.0,0.0,0.0,0.0,18.0,1.0,2.0,0.0,0.0,1.0,1.0,13.0,14.0,3.0,4.0,0.0,2.0,3.0,3.0,0.0,5.0,1.0,0.0,1.0,3.0,2.0,6.0,4.0,5.0,2.0,4.0,4.0,2.0,8.0,4.0
0.0,-1.0707288726548234,-1.1184730411525134,-0.5,1.0,-1.0,-1.1578947368421053,0.0,-0.23092926490984744,0.0,0.5580603998298597,0.05663189269746647,0.9134615384615384,0.0,0.33733075435203097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4015932738758845,-1.0,0.0,-0.36486486486486486,242.0,0.0,0.0,0.0,0.0,-0.3333333333333333,1.0,3.0,1.0,3.0,3.0,0.0,4.0,0.0,18.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,14.0,3.0,4.0,0.0,3.0,3.0,3.0,3.0,5.0,1.0,4.0,1.0,3.0,2.0,6.0,2.0,5.0,2.0,4.0,4.0,2.0,8.0,4.0
-0.6,-0.01809729370745497,0.048629262658804934,-0.5,2.0,0.0,-0.5789473684210527,0.0,0.7066574202496533,0.0,-0.816673755848575,-0.20566318926974664,0.0,0.0,-0.8959381044487428,1.0,0.0,-1.0,0.0,0.0,0.0,-0.5,-1.0,-0.09390096618357674,0.0,1.5238095238095237,-0.36486486486486486,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-1.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,1.0,1.0,12.0,13.0,3.0,4.0,2.0,3.0,3.0,3.0,0.0,5.0,1.0,4.0,1.0,3.0,3.0,6.0,2.0,1.0,2.0,4.0,4.0,2.0,8.0,0.0
0.2,2.718744811555703,0.561911130022491,0.0,0.0,0.6875,0.2894736842105263,0.0,-0.5332871012482663,0.0,0.3470863462356444,-0.6229508196721312,1.2032967032967032,0.0,0.1346228239845261,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6753298030471925,0.0,0.5952380952380952,0.14864864864864866,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,3.0,1.0,1.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,5.0,1.0,1.0,12.0,13.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,5.0,1.0,0.0,1.0,3.0,2.0,6.0,2.0,3.0,0.0,4.0,4.0,2.0,8.0,4.0
0.0,-1.5970446621285077,-1.0124612485563187,-1.0,3.0,-1.0416666666666667,0.34210526315789475,0.0,0.48613037447988905,0.0,-0.7128881327094854,-0.40039741679085944,0.49175824175824173,0.0,-0.49361702127659574,1.0,0.0,-1.0,0.0,0.0,0.0,0.5,-1.0,-1.4528753251579356,-1.0,0.0,0.9324324324324325,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,1.0,4.0,1.0,3.0,3.0,0.0,4.0,0.0,9.0,2.0,2.0,0.0,0.0,1.0,1.0,12.0,13.0,3.0,2.0,0.0,3.0,3.0,3.0,1.0,5.0,1.0,2.0,1.0,3.0,2.0,6.0,2.0,5.0,2.0,4.0,4.0,0.0,8.0,4.0
-0.6,0.4029553378714924,0.6054343201021215,0.0,1.0,0.1875,-0.34210526315789475,1.2650602409638554,0.28224687933425796,228.0,0.21437686091025096,0.8435171385991058,0.0,0.0,-0.07891682785299807,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.05994518766257711,0.0,1.6428571428571428,-0.36486486486486486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,4.0,0.0,14.0,2.0,2.0,0.0,2.0,1.0,1.0,8.0,8.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,6.0,4.0,1.0,0.0,4.0,4.0,2.0,8.0,4.0
-0.6,0.29769217997675557,-0.1074706704759589,1.0,0.0,0.7291666666666666,0.34210526315789475,0.8433734939759037,-0.5332871012482663,0.0,1.7286261165461505,0.9905613512170889,0.0,0.0,0.035589941972920695,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0.7266118543292438,0.0,1.0,1.3918918918918919,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,3.0,1.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,2.0,1.0,1.0,5.0,5.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,5.0,1.0,0.0,1.0,3.0,2.0,6.0,2.0,1.0,0.0,4.0,4.0,2.0,6.0,5.0
